Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-44866,GLB|Dan Dan Noodle|Tofu,OK - GLOBAL KITCHEN ,Green,False,False,True,355.5078913310937,3.185987307498882,1.1334619729345614,52.4,1729.35,85.66,0.77,12.63,416.71,0.27
R-44362,GLB|Fried Cauliflower Bowl,OK - GLOBAL KITCHEN ,Green,False,False,True,265.44498981548287,1.3128177832314898,1.1288552597573434,32.09,1895.4,126.55,0.63,15.3,903.65,0.54
R-73425,GLB|Garlic Shio Ramen,OK - GLOBAL KITCHEN ,Green,False,False,True,349.0693764670851,3.6756955152289192,1.1359066821353656,64.75,2001.53,104.83,1.1,19.44,601.06,0.34
R-56835,GLB|Ginger Beef,OK - GLOBAL KITCHEN ,Red,True,False,False,5211.499678515252,15.095592807962154,19.239105311402113,226.08,8751.47,1930.19,5.59,83.73,3241.29,7.13
R-73028,GLB|Japchae,OK - VEGETARIAN KITCHEN,Green,False,False,True,995.5551550356396,9.569646646128572,2.0977901500532656,138.27,7794.27,45.56,0.44,6.33,356.72,0.1
R-73329,GLB|Jjajangmyeon,OK - GLOBAL KITCHEN ,Green,False,False,True,311.4855686057595,3.4143476950630323,0.9360288770186098,61.28,1951.21,91.61,1.0,18.02,573.89,0.28
R-68202,GLB|Sesame Tofu & Broccoli,OK - GLOBAL KITCHEN ,Green,False,False,True,222.90174794030972,1.0181750444213853,0.4409802080495791,54.56,545.91,107.68,0.49,26.36,263.72,0.21
R-73322,GLB|Shanghai Noodles,OK - GLOBAL KITCHEN ,Green,False,False,True,364.1603390010821,3.697747756416608,0.9927532184927552,52.66,1675.1,71.4,0.73,10.33,328.45,0.19
R-73424,GLB|Tan Tan Ramen,OK - GLOBAL KITCHEN ,Green,False,False,True,313.77465623586846,4.8144062496297,0.9220968749751464,69.9,2313.23,57.05,0.88,12.71,420.59,0.17
R-72857,GLB|Tanuki Soba,CK - FOOD,Green,False,False,True,222.0161315599053,1.96808763108,0.4960881841770472,28.76,869.0,29.48,0.26,3.82,115.41,0.07
R-73182,GLB|Thai Vermicelli Soup,OK - GLOBAL KITCHEN ,Green,False,False,True,715.3045633808925,1.7597956613804502,0.7761532558983033,132.28,689.43,161.83,0.4,29.93,155.98,0.18
R-61691,GLB|Tofu Jambalaya,OK - GLOBAL KITCHEN ,Green,False,False,True,278.9966891789471,1.906429724351402,0.5003720024739567,40.86,678.2,102.57,0.7,15.02,249.34,0.18
R-73427,GLB|Udon Soup,OK - GLOBAL KITCHEN ,Green,False,False,True,349.8352666446698,2.6931656432656124,0.9350267933325722,52.64,1742.18,65.15,0.5,9.8,324.43,0.17
R-55155,GRL|Breakfast BLT,OK - GRILL KITCHEN BREAKFAST,Red,True,False,False,929.8217680035656,11.853663320849387,2.139520209216918,178.28,5451.0,344.38,4.39,66.03,2018.89,0.79
R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST,Yellow,False,True,False,513.4843141793975,4.639480488496872,1.151114937158789,68.75,2624.02,255.15,2.31,34.16,1303.86,0.57
R-28250,GRL|Burger|Cheeseburger,OK - GRILL KITCHEN DAY,Red,True,False,False,6599.746285190807,52.78911988558274,19.727128943536044,316.52,11738.54,2219.15,17.75,106.43,3947.05,6.63
R-28249,GRL|Burger|Classic Beef ,OK - GRILL KITCHEN DAY,Red,True,False,False,6492.646296730983,51.76011284191488,19.622443326572157,297.54,10715.19,2139.96,17.06,98.07,3531.7,6.47
R-69994,GRL|Burger|Mexican Veg,GV GRILL DAY,Green,False,False,True,293.2885310962122,2.07344395237787,1.414387722322783,40.03,1259.25,135.16,0.96,18.45,580.3,0.65
R-72192,GRL|Burrito|Vegan Breakfast,OK - GRILL KITCHEN BREAKFAST,Yellow,False,True,False,125.82000000000126,0.4425000000000045,0.9712500000000096,0.0,0.0,167.76,0.59,0.0,0.0,1.3
R-54583,GRL|Chicken Burger|BBQ ,OK - GRILL KITCHEN DAY,Yellow,False,True,False,799.4709418761795,16.521620039317238,1.971439771174631,88.75,1488.92,229.73,4.75,25.5,427.85,0.57
R-35714,GRL|Chicken Burger|Blackened,OK - GRILL KITCHEN DAY,Yellow,False,True,False,993.703385629836,17.842918172463175,2.176683118016423,103.38,2384.16,276.8,4.97,28.8,664.11,0.61
R-50466,GRL|Chicken Burger|Buffalo,OK - GRILL KITCHEN DAY,Red,True,False,False,695.9777749428579,15.523308204081635,1.8064926224489744,76.41,1208.85,329.85,7.36,36.21,572.91,0.86
